iter,train_elbo,valid_rmse
1,-69045.1484375,0.5191342830657959
100,-67222.3046875,0.41861584782600403
200,-65372.74609375,0.3068876564502716
300,-63522.42578125,0.20646537840366364
400,-61701.76953125,0.18065887689590454
500,-59871.83203125,0.17010116577148438
600,-58056.1328125,0.17232678830623627
700,-56263.0625,0.19631192088127136
800,-54468.8828125,0.17870675027370453
900,-52687.78125,0.16532441973686218
1000,-50932.125,0.14849141240119934
1100,-49183.25,0.16926659643650055
1200,-47447.55859375,0.17572051286697388
1300,-45735.68359375,0.1854175627231598
1400,-44047.19921875,0.22126111388206482
1500,-42380.65234375,0.1611461043357849
1600,-40717.10546875,0.2407555729150772
1700,-39097.12890625,0.22360025346279144
1800,-37504.0,0.21105565130710602
1900,-35924.41015625,0.18364261090755463
2000,-34377.6640625,0.24640241265296936
