iter,train_elbo,valid_rmse
1,-537.6306762695312,0.30700814723968506
100,-496.8177490234375,0.18481643497943878
200,-468.671630859375,0.16032639145851135
300,-441.1636962890625,0.1574951559305191
400,-413.28021240234375,0.15174473822116852
500,-387.5187683105469,0.1518436223268509
600,-361.8846130371094,0.14933183789253235
700,-336.5340270996094,0.14988230168819427
800,-311.9380798339844,0.15066592395305634
900,-287.7553405761719,0.1467512845993042
1000,-264.1607666015625,0.1463572382926941
1100,-241.47532653808594,0.154826357960701
1200,-219.4910125732422,0.15083062648773193
1300,-198.24801635742188,0.1502465307712555
1400,-178.3497772216797,0.14822205901145935
1500,-159.7756805419922,0.14655643701553345
1600,-141.62313842773438,0.14522069692611694
1700,-124.7647705078125,0.14908631145954132
1800,-109.52689361572266,0.15139134228229523
1900,-95.61376953125,0.14775350689888
2000,-82.97444152832031,0.14928314089775085
