iter,train_elbo,valid_rmse
1,-537.4866943359375,0.30560651421546936
100,-496.6015930175781,0.16397948563098907
200,-469.14508056640625,0.15908189117908478
300,-442.16162109375,0.1571691930294037
400,-414.67633056640625,0.15657351911067963
500,-389.1108093261719,0.15505151450634003
600,-363.6401062011719,0.15323662757873535
700,-338.4646301269531,0.15204490721225739
800,-313.8457336425781,0.15523509681224823
900,-289.76678466796875,0.1540525108575821
1000,-266.2437438964844,0.15049228072166443
1100,-243.50726318359375,0.15315163135528564
1200,-221.4827880859375,0.15125176310539246
1300,-200.21249389648438,0.1499514877796173
1400,-180.23521423339844,0.1505323201417923
1500,-161.49099731445312,0.1489182859659195
1600,-143.2630157470703,0.14935588836669922
1700,-125.94409942626953,0.1518452763557434
1800,-110.54886627197266,0.15176108479499817
1900,-96.36196899414062,0.14912915229797363
2000,-83.35271453857422,0.1497037559747696
