iter,train_elbo,valid_rmse
1,-1382.643310546875,0.22761885821819305
100,-1351.4876708984375,0.15980437397956848
200,-1323.3585205078125,0.15667638182640076
300,-1295.6981201171875,0.15909996628761292
400,-1268.032470703125,0.15303407609462738
500,-1240.654052734375,0.15204566717147827
600,-1213.425537109375,0.1516125351190567
700,-1186.322021484375,0.15232409536838531
800,-1159.345947265625,0.1513349860906601
900,-1132.6297607421875,0.15118703246116638
1000,-1106.221435546875,0.15057872235774994
1100,-1079.930419921875,0.15259039402008057
1200,-1053.8880615234375,0.15268422663211823
1300,-1028.1221923828125,0.1535261869430542
1400,-1002.6365356445312,0.15335918962955475
1500,-977.5064086914062,0.15080055594444275
1600,-952.6124267578125,0.15295812487602234
1700,-928.0499877929688,0.15392650663852692
1800,-903.9144897460938,0.15685220062732697
1900,-880.1810913085938,0.15499448776245117
2000,-856.770751953125,0.15498118102550507
