iter,train_elbo,valid_rmse
1,-69045.2109375,0.5191596150398254
100,-67222.6953125,0.4206346571445465
200,-65373.86328125,0.30769243836402893
300,-63524.05078125,0.21379227936267853
400,-61700.70703125,0.1766757220029831
500,-59873.42578125,0.17623913288116455
600,-58057.01953125,0.16276893019676208
700,-56261.09375,0.17355087399482727
800,-54469.32421875,0.18260851502418518
900,-52686.6640625,0.16003061830997467
1000,-50933.52734375,0.14756084978580475
1100,-49182.59375,0.15911106765270233
1200,-47448.484375,0.1700589805841446
1300,-45735.3203125,0.19168497622013092
1400,-44046.16015625,0.1721145659685135
1500,-42379.88671875,0.17641332745552063
1600,-40716.83203125,0.19943243265151978
1700,-39097.15625,0.20377498865127563
1800,-37503.296875,0.18350635468959808
1900,-35923.359375,0.2108871340751648
2000,-34376.87890625,0.223337784409523
