rank_test_rmse,run_dir,test_rmse,valid_rmse,delta_test_rmse_vs_best,delta_valid_rmse_vs_best_valid,batch_size,n_mc_samples,use_sigmoid_output,n_iters,prior_stddev,likelihood_stddev,hidden_sizes,step_size,init_q_stddev,seed,results_json
1,arch_100_iters_2000_bs_64_mc_50_lr_0p001_prior_0p5_lik_0p05_qstd_0p05_sigmoid_seed_101,0.13420285284519196,0.16306522488594055,0.0,0.01110108196735382,64,50,True,2000,0.5,0.05,100,0.001,0.05,101,hvm/hparam_results/arch_100_iters_2000_bs_64_mc_50_lr_0p001_prior_0p5_lik_0p05_qstd_0p05_sigmoid_seed_101/results.json
2,arch_100_iters_2000_bs_128_mc_50_lr_0p001_prior_3p0_lik_0p5_qstd_0p05_sigmoid_seed_101,0.1343400478363037,0.21429096162319183,0.00013719499111175537,0.0623268187046051,128,50,True,2000,3.0,0.5,100,0.001,0.05,101,hvm/hparam_results/arch_100_iters_2000_bs_128_mc_50_lr_0p001_prior_3p0_lik_0p5_qstd_0p05_sigmoid_seed_101/results.json
3,arch_100_iters_2000_bs_32_mc_100_lr_0p001_prior_10p0_lik_0p05_qstd_0p05_sigmoid_seed_101,0.13442561030387878,0.1612744778394699,0.0002227574586868286,0.009310334920883179,32,100,True,2000,10.0,0.05,100,0.001,0.05,101,hvm/hparam_results/arch_100_iters_2000_bs_32_mc_100_lr_0p001_prior_10p0_lik_0p05_qstd_0p05_sigmoid_seed_101/results.json
4,arch_100_iters_2000_bs_64_mc_50_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_sigmoid_seed_101,0.1344357132911682,0.16156291961669922,0.00023286044597625732,0.009598776698112488,64,50,True,2000,3.0,0.1,100,0.001,0.05,101,hvm/hparam_results/arch_100_iters_2000_bs_64_mc_50_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_sigmoid_seed_101/results.json
5,arch_100_iters_2000_bs_32_mc_100_lr_0p001_prior_1p0_lik_0p05_qstd_0p05_sigmoid_seed_101,0.1344490945339203,0.1629713624715805,0.0002462416887283325,0.011007219552993774,32,100,True,2000,1.0,0.05,100,0.001,0.05,101,hvm/hparam_results/arch_100_iters_2000_bs_32_mc_100_lr_0p001_prior_1p0_lik_0p05_qstd_0p05_sigmoid_seed_101/results.json
6,arch_100_iters_2000_bs_32_mc_50_lr_0p001_prior_0p5_lik_0p05_qstd_0p05_sigmoid_seed_101,0.13447205722332,0.1591092348098755,0.00026920437812805176,0.007145091891288757,32,50,True,2000,0.5,0.05,100,0.001,0.05,101,hvm/hparam_results/arch_100_iters_2000_bs_32_mc_50_lr_0p001_prior_0p5_lik_0p05_qstd_0p05_sigmoid_seed_101/results.json
7,arch_100_iters_2000_bs_128_mc_50_lr_0p001_prior_10p0_lik_0p2_qstd_0p05_sigmoid_seed_101,0.13448534905910492,0.15827225148677826,0.00028249621391296387,0.006308108568191528,128,50,True,2000,10.0,0.2,100,0.001,0.05,101,hvm/hparam_results/arch_100_iters_2000_bs_128_mc_50_lr_0p001_prior_10p0_lik_0p2_qstd_0p05_sigmoid_seed_101/results.json
8,arch_100_iters_2000_bs_128_mc_50_lr_0p001_prior_1p0_lik_0p1_qstd_0p05_sigmoid_seed_101,0.1344967633485794,0.17756618559360504,0.00029391050338745117,0.02560204267501831,128,50,True,2000,1.0,0.1,100,0.001,0.05,101,hvm/hparam_results/arch_100_iters_2000_bs_128_mc_50_lr_0p001_prior_1p0_lik_0p1_qstd_0p05_sigmoid_seed_101/results.json
9,arch_100_iters_2000_bs_64_mc_100_lr_0p001_prior_3p0_lik_0p05_qstd_0p05_sigmoid_seed_101,0.13451425731182098,0.15668830275535583,0.0003114044666290283,0.004724159836769104,64,100,True,2000,3.0,0.05,100,0.001,0.05,101,hvm/hparam_results/arch_100_iters_2000_bs_64_mc_100_lr_0p001_prior_3p0_lik_0p05_qstd_0p05_sigmoid_seed_101/results.json
10,arch_100_iters_2000_bs_64_mc_50_lr_0p001_prior_10p0_lik_0p05_qstd_0p05_sigmoid_seed_101,0.1345461755990982,0.15548595786094666,0.00034332275390625,0.0035218149423599243,64,50,True,2000,10.0,0.05,100,0.001,0.05,101,hvm/hparam_results/arch_100_iters_2000_bs_64_mc_50_lr_0p001_prior_10p0_lik_0p05_qstd_0p05_sigmoid_seed_101/results.json
