language_pair,n,mean_crps,std_crps
ar-ar,25,0.08445156598106025,0.09956225992821913
en-ar,25,0.10576502074047923,0.08563549385717387
en-de,25,0.05965408584101499,0.04779651123930207
en-en,25,0.04444957516769319,0.0232888493026113
en-tr,25,0.12331241518051923,0.08117148867347265
es-en,25,0.07061562842483819,0.06422752102716484
es-es,25,0.07827342266014219,0.07242079783288759
fr-en,25,0.045786939381368456,0.03324571619538752
it-en,25,0.03581320332595706,0.030181674938152284
ko-ko,286,0.08705574357157665,0.07888277894732908
nl-en,25,0.039600470898419615,0.022288383435930956
