language_pair,n_test,mae,rmse,bias,mean_pred_std
ar-ar,25,0.10686793118715286,0.1538674597694505,-0.0009390851855278015,0.07015958502888679
en-ar,25,0.1375558117032051,0.16991567889297543,-0.046540853083133694,0.07311338812112808
en-de,25,0.0806342539191246,0.10211201488159724,0.03955607682466507,0.07122603084892035
en-en,25,0.057828716784715656,0.06672855235781412,-0.04916143849492073,0.051860817037522794
en-tr,25,0.1580371868610382,0.18192804626752104,-0.04081350207328796,0.07277559354901314
es-en,25,0.0914823591709137,0.11934053603757805,0.03625012159347534,0.062353365793824195
es-es,25,0.10087146520614625,0.13206028902940048,-0.053785258531570436,0.05593156557530165
fr-en,25,0.06124045819044113,0.07758476941853498,0.014113116562366485,0.06266408957540989
it-en,25,0.04792067855596542,0.06309094309543382,0.014353599846363068,0.06614974603056907
nl-en,25,0.0568528014421463,0.06552331532806936,-0.006993948817253113,0.0649521828442812
ko-ko,286,0.11277378838952187,0.14473390961613095,-0.00209789518657681,0.06738983023052032
ALL (full test),536,0.10211864749053076,0.1342028688966515,-0.0055019166181559,0.06633050476875045
