language_pair,n,rmse,mse
ar-ar,25,0.1538674597694505,0.02367519517590346
en-ar,25,0.16991567889297543,0.028871337933660736
en-de,25,0.10211201488159724,0.010426863583179536
en-en,25,0.06672855235781412,0.004452699699769541
en-tr,25,0.18192804626752104,0.03309781401871728
es-en,25,0.11934053603757805,0.014242163541736463
es-es,25,0.13206028902940048,0.017439919938528795
fr-en,25,0.07758476941853498,0.0060193964457272405
it-en,25,0.06309094309543382,0.00398046710067127
ko-ko,286,0.14473390961613095,0.020947904592770364
nl-en,25,0.06552331532806936,0.0042933048515816094
